date,symbol,ret,close_raw,close,market_ret,classification,direction
2014-04-28,UPL,0.1829725278487322,276.6,184.40009220000002,0.0017525695344960163,idiosyncratic,up
2001-07-31,ZEEL,0.18480250791587016,84.75,42.375,0.015180338701102473,idiosyncratic,up
2009-05-18,RELIANCE,0.19366738266051797,2367.55,591.8875,0.14897018925767616,market_stress,up
2005-09-19,VEDL,0.19447267756341668,1049.05,55.213599599999995,0.015549606057495776,idiosyncratic,up
2009-04-02,JSWSTEEL,0.19515133650978944,305.15,30.515,0.042468439664870156,market_stress,up
2009-05-18,HEROMOTOCO,0.1965553712760757,1487.3,1487.3,0.14897018925767616,market_stress,up
2009-05-18,SUNPHARMA,0.1995183560859619,1590.05,159.005,0.14897018925767616,market_stress,up
2009-05-18,HDFC,0.20272026770206164,2374.2,508.75782119999997,0.14897018925767616,market_stress,up
2020-04-07,INDUSINDBK,0.20340988715726027,383.85,383.85,0.0869785063216261,market_stress,up
2009-05-18,ICICIBANK,0.20732393309649932,707.1,141.42000000000002,0.14897018925767616,market_stress,up
2020-03-18,ZEEL,0.20937527269497913,164.1,164.1,-0.04493735806113047,market_stress,up
2004-05-18,WIPRO,0.21372724782815844,1539.25,57.721817278124995,0.07910809095113995,market_stress,up
2009-05-18,MM,0.21396729025318884,635.95,158.9875,0.14897018925767616,market_stress,up
2008-10-31,MM,0.21499923637252394,374.5,93.625,0.06465805269907691,market_stress,up
2009-05-18,LT,0.2194156812001955,1231.65,547.4005474001369,0.14897018925767616,market_stress,up
2009-05-18,BHARTIARTL,0.2265259597910516,1003.2,501.6,0.14897018925767616,market_stress,up
2008-10-31,UPL,0.22798103346324883,106.2,70.8000354,0.06465805269907691,market_stress,up
2009-06-09,TECHM,0.22802777155017306,744.0,186.0,0.03350901943980935,idiosyncratic,up
2005-10-31,TITAN,0.2289220909682843,496.8,26.147577599999998,0.026630209537180122,idiosyncratic,up
2004-05-18,HDFCBANK,0.22966148082363835,352.1,35.21,0.07910809095113995,market_stress,up
2017-10-25,SBIN,0.24441308964021324,324.9,324.9,0.010437449257239089,idiosyncratic,up
2004-05-18,GAIL,0.277690805088211,169.3,28.342645265625002,0.07910809095113995,market_stress,up
2008-10-31,JSWSTEEL,0.2905090831417856,307.0,30.700000000000003,0.06465805269907691,market_stress,up
2020-03-26,INDUSINDBK,0.36930641310809076,435.9,435.9,0.03690868759312689,idiosyncratic,up
